Year,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
2019,1410,27.9,4.83,4858,186517,166651,23467,42039,8531,785,6776,22471,2280,832,15895,42823,0.252,0.323,0.435,0.758,97,72468,3463,1984,776,1150,753,32780
2017,1358,28.3,4.65,4860,185295,165567,22582,42215,8397,795,6105,21558,2527,934,15829,40104,0.255,0.324,0.426,0.75,97,70517,3804,1763,925,1168,970,32942
2021,1508,28.4,4.53,4858,181821,161941,22010,39484,7863,671,5944,20993,2213,711,15794,42145,0.244,0.317,0.411,0.728,97,66521,3328,2112,766,1143,703,32601
2023,1457,28,4.62,4860,184104,164418,22432,40839,8228,712,5868,21512,3503,866,15819,41843,0.248,0.32,0.414,0.734,100,68095,3466,2112,429,1230,474,32964
2016,1353,28.4,4.48,4856,184580,165561,21744,42276,8254,873,5610,20745,2537,1001,15088,38982,0.255,0.322,0.417,0.739,97,69106,3719,1651,1025,1214,932,32916
2018,1379,28.1,4.45,4862,185139,165432,21630,41018,8264,847,5585,20606,2474,958,15686,41207,0.248,0.318,0.409,0.728,97,67731,3457,1922,823,1235,929,33042
2022,1495,28.2,4.28,4860,182052,163465,20817,39675,7940,643,5215,19888,2486,811,14853,40812,0.243,0.312,0.395,0.706,100,64546,3397,2046,390,1224,475,32611
2015,1348,28.4,4.25,4858,183628,165488,20647,42106,8242,939,4909,19650,2505,1064,14073,37446,0.254,0.317,0.405,0.721,97,66953,3739,1602,1200,1232,951,32758
2013,1304,28.5,4.17,4862,184873,166070,20255,42093,8222,772,4661,19271,2693,1007,14640,36710,0.253,0.318,0.396,0.714,97,65842,3732,1536,1383,1219,1018,33658
2014,1320,28.5,4.07,4860,183929,165614,19761,41595,8137,849,4186,18745,2764,1035,14020,37441,0.251,0.314,0.386,0.7,97,63988,3609,1652,1343,1277,985,33327
2020,1289,28,4.65,1796,66506,59030,8344,14439,2823,241,2304,7978,885,292,6092,15586,0.245,0.322,0.418,0.74,100,24656,1237,821,126,402,202,11974
