Year,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
2023,863,28.9,4.62,2430,2430,0.5,4.33,4860,4860,4825,35,309,21,1241,43087.1,40839,22432,20709,5868,15819,474,41843,2112,208,1613,184104,101,4.33,1.315,8.5,1.2,3.3,8.7,2.65,32964
2022,871,28.8,4.28,2430,2430,0.5,3.96,4860,4860,4824,36,341,16,1232,43075.1,39675,20817,18962,5215,14853,475,40812,2046,122,1607,182052,101,3.97,1.266,8.3,1.1,3.1,8.5,2.75,32611
2021,909,28.7,4.53,2429,2429,0.5,4.26,4858,4858,4808,50,299,29,1191,42615,39484,22010,20162,5944,15794,703,42145,2112,155,1862,181818,101,4.27,1.297,8.3,1.3,3.3,8.9,2.67,32601
2020,735,28.3,4.65,898,898,0.5,4.44,1796,1796,1767,29,99,12,422,15468.2,14439,8344,7638,2304,6092,202,15586,821,63,675,66506,102,4.45,1.327,8.4,1.3,3.5,9.1,2.56,11974
2019,831,28.4,4.83,2429,2429,0.5,4.49,4858,4858,4813,45,268,26,1180,43423.1,42039,23467,21684,6776,15895,753,42823,1984,153,1788,186517,101,4.5,1.334,8.7,1.4,3.3,8.9,2.69,32780
2018,799,28.4,4.45,2431,2431,0.5,4.14,4862,4862,4820,42,312,19,1244,43489,41018,21630,20025,5585,15686,929,41207,1922,151,1847,185139,101,4.15,1.304,8.5,1.2,3.2,8.5,2.63,33042
2017,755,28.5,4.65,2430,2430,0.5,4.35,4860,4860,4801,59,261,27,1179,43257,42215,22582,20911,6105,15829,970,40104,1763,155,1810,185295,101,4.36,1.342,8.8,1.3,3.3,8.3,2.53,32942
2016,742,28.3,4.48,2427,2427,0.5,4.18,4856,4856,4773,83,276,36,1276,43306.1,42276,21744,20124,5610,15088,932,38982,1651,148,1808,184580,101,4.19,1.325,8.8,1.2,3.1,8.1,2.58,32916
2015,735,28.4,4.25,2429,2429,0.5,3.95,4858,4858,4754,104,339,51,1292,43407.2,42106,20647,19075,4909,14073,951,37446,1602,141,1758,183628,101,3.96,1.294,8.7,1,2.9,7.8,2.66,32758
2014,692,28.5,4.07,2430,2430,0.5,3.74,4860,4860,4742,118,353,65,1264,43613.2,41595,19761,18107,4186,14020,985,37441,1652,128,1696,183929,101,3.74,1.275,8.6,0.9,2.9,7.7,2.67,33327
2013,679,28.4,4.17,2431,2431,0.5,3.86,4862,4862,4738,124,331,57,1266,43653.1,42093,20255,18728,4661,14640,1018,36710,1536,128,1736,184873,101,3.87,1.3,8.7,1,3,7.6,2.51,33658
